,No.,Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,Change,from Open,Gap,Volume
142,143,CCL,2.31,0.62,26.51%,45.60%,60.25%,-2.23%,158.59%,80.43,15.8,-1.99%,-3.07%,1.12%,50985481
143,144,CDAY,1.43,2.21,5.05%,5.21%,2.84%,-15.79%,55.17%,59.21,67.08,-1.06%,-2.33%,1.30%,2256607
144,145,CDNS,1.05,6.34,4.30%,9.42%,28.00%,-2.81%,69.96%,61.94,235.84,-0.81%,-2.04%,1.25%,5005890
145,146,CDW,1.09,3.3,3.15%,2.82%,-1.46%,-17.14%,20.44%,59.17,178.15,-0.03%,-0.75%,0.72%,1527771
146,147,CE,1.31,3.39,2.40%,5.80%,6.69%,-11.57%,31.48%,55.42,114.0,-2.40%,-1.96%,-0.45%,2258082
147,148,CEG,-,1.82,5.95%,13.90%,10.17%,-5.11%,76.46%,73.12,92.89,-0.61%,-0.75%,0.14%,4961890
148,149,CELH,1.79,5.95,6.20%,25.73%,42.90%,-3.93%,177.18%,65.01,144.44,-0.21%,-1.43%,1.23%,861068
149,150,CF,1.03,2.47,8.37%,2.64%,-18.08%,-40.41%,18.63%,60.96,71.27,1.70%,0.96%,0.73%,5873223
150,151,CFG,1.31,1.3,-0.54%,-1.70%,-23.91%,-39.18%,16.65%,48.15,27.26,-1.55%,-2.40%,0.87%,11758540
151,152,CFLT,-,1.99,7.04%,28.83%,42.55%,-7.52%,108.98%,62.67,34.69,0.58%,-0.89%,1.48%,7960687
152,153,CG,1.68,0.81,8.94%,8.88%,3.49%,-20.31%,27.61%,68.88,31.38,-0.73%,-1.17%,0.44%,3510520
153,154,CHD,0.47,1.25,2.38%,2.64%,15.38%,-2.20%,37.06%,61.77,96.16,0.33%,0.12%,0.21%,1825099
154,155,CHDN,1.10,3.09,-1.95%,-0.96%,16.07%,-9.35%,57.90%,44.81,136.39,-0.95%,-1.34%,0.39%,642757
155,156,CHK,-,2.41,3.64%,4.07%,-5.23%,-20.35%,20.77%,58.17,82.36,1.02%,0.68%,0.33%,1056924
156,157,CHKP,0.69,2.13,5.30%,4.35%,4.81%,-3.69%,21.73%,71.47,130.91,0.35%,0.08%,0.28%,1587270
157,158,CHRW,0.80,2.44,-1.06%,-2.82%,-3.54%,-21.95%,9.26%,47.61,94.62,-0.78%,-1.43%,0.66%,1840603
158,159,CHT,-,0.32,0.25%,0.15%,8.23%,-6.47%,24.26%,52.35,40.88,-0.29%,-0.20%,-0.10%,138395
159,160,CHTR,1.11,8.93,2.26%,0.26%,-4.54%,-31.25%,14.64%,53.7,341.24,-0.47%,-0.72%,0.25%,1720985
160,161,CHWY,0.88,1.85,13.61%,16.79%,4.72%,-25.04%,42.62%,63.42,39.64,-2.17%,-2.41%,0.25%,3982761
161,162,CI,0.64,7.09,4.38%,4.36%,-7.24%,-20.96%,11.93%,59.04,268.83,-0.24%,-1.10%,0.86%,2894785
162,163,CINF,0.63,2.08,-0.23%,-3.13%,-4.77%,-22.78%,13.81%,46.25,100.9,0.50%,-0.09%,0.59%,2512223
163,164,CL,0.49,1.07,1.94%,0.26%,2.95%,-7.19%,14.65%,56.5,77.78,1.28%,0.90%,0.38%,7364899
164,165,CLX,0.27,2.72,-1.56%,-3.56%,4.61%,-12.16%,29.91%,42.55,156.54,1.02%,0.85%,0.17%,1620715
165,166,CM,1.04,0.71,4.47%,4.80%,0.71%,-17.26%,12.06%,64.58,44.15,0.59%,0.32%,0.27%,2956385
166,167,CMCSA,1.00,0.73,2.57%,4.21%,13.59%,-5.75%,45.12%,60.47,41.2,-0.65%,-1.08%,0.43%,33882710
167,168,CME,0.41,3.35,1.58%,-0.51%,2.90%,-10.88%,13.47%,53.1,184.11,1.04%,0.58%,0.46%,3637833
168,169,CMG,1.31,30.11,-1.52%,3.22%,22.80%,-5.00%,68.59%,49.85,2032.92,-0.91%,-1.60%,0.70%,343603
169,170,CMI,1.04,5.74,7.21%,5.24%,1.08%,-9.97%,27.97%,63.22,235.81,-0.58%,-0.96%,0.38%,1788610
170,171,CMS,0.37,1.05,2.97%,0.44%,-0.47%,-14.68%,15.89%,56.7,60.74,-0.46%,-0.91%,0.46%,2644767
171,172,CNA,0.65,0.81,0.27%,-1.30%,-3.28%,-13.79%,10.23%,48.17,38.51,0.71%,0.08%,0.63%,508950
172,173,CNC,0.57,1.96,-0.20%,-1.76%,-12.30%,-33.36%,7.04%,47.14,65.66,-0.70%,-1.04%,0.35%,5622573
173,174,CNHI,1.65,0.36,6.19%,4.04%,-0.22%,-19.19%,37.08%,60.8,14.53,-0.21%,-0.82%,0.62%,4575350
174,175,CNI,0.91,2.11,2.80%,0.43%,0.42%,-8.42%,14.61%,56.7,118.95,0.84%,0.54%,0.30%,1637766
175,176,CNP,0.88,0.48,1.67%,-1.63%,-1.27%,-12.90%,16.58%,52.08,29.18,-0.31%,-0.34%,0.03%,6640359
176,177,CNQ,1.59,1.47,-1.63%,-4.32%,-2.64%,-12.08%,25.98%,44.53,55.01,-1.06%,-1.36%,0.31%,1546003
177,178,COF,1.46,3.03,3.17%,11.61%,9.40%,-10.58%,31.15%,60.98,110.07,-1.42%,-1.74%,0.33%,4275906
178,179,COIN,-,4.21,-2.79%,-5.32%,-4.82%,-52.20%,76.20%,48.04,55.59,2.47%,0.32%,2.14%,13699144
179,180,COO,0.90,7.5,0.22%,-2.12%,11.23%,-7.03%,50.45%,50.53,367.41,-0.04%,-1.22%,1.19%,628289
180,181,COP,1.31,2.59,2.28%,2.22%,-5.04%,-23.30%,37.62%,58.04,104.92,0.74%,0.06%,0.68%,9904786
181,182,COST,0.79,7.85,2.93%,4.28%,5.87%,-7.28%,18.15%,61.97,523.65,-1.05%,-1.22%,0.17%,3140937
182,183,COTY,1.89,0.35,8.75%,6.40%,31.02%,-1.58%,100.97%,65.83,12.44,-0.08%,-0.48%,0.40%,6694373
183,184,CP,0.83,1.63,0.51%,-0.48%,2.56%,-5.90%,20.49%,51.0,78.52,0.11%,-0.08%,0.19%,1816780
184,185,CPB,0.32,0.98,-6.43%,-11.73%,-11.12%,-19.65%,4.62%,28.28,46.42,-0.04%,-0.21%,0.17%,3679510
185,186,CPNG,-,0.57,7.70%,6.93%,4.50%,-19.18%,55.96%,63.67,17.28,1.83%,2.07%,-0.24%,9375071
186,187,CPRT,1.20,1.45,-0.18%,6.50%,29.03%,-2.80%,70.79%,59.71,87.28,0.20%,-1.11%,1.32%,4188973
187,188,CPT,0.82,2.17,4.55%,5.10%,-0.60%,-22.82%,15.73%,65.15,113.11,0.86%,0.34%,0.53%,1257790
188,189,CQP,-,1.43,3.98%,3.01%,-8.69%,-23.33%,19.67%,60.31,47.07,2.73%,2.95%,-0.22%,592169
189,190,CRBG,-,0.59,-0.09%,2.40%,-11.69%,-27.27%,21.99%,51.24,16.47,-1.44%,-2.02%,0.60%,2869032
190,191,CRH,1.15,1.08,7.83%,8.27%,22.80%,0.76%,70.21%,69.98,53.14,0.78%,-1.25%,2.05%,1746004
191,192,CRL,1.34,6.03,4.71%,6.44%,-1.57%,-19.85%,15.88%,62.64,209.99,0.49%,-0.35%,0.84%,667462
192,193,CRM,1.20,6.29,-0.12%,4.31%,25.56%,-5.88%,67.61%,53.64,211.76,-0.08%,-0.81%,0.75%,13661531
193,194,CRWD,0.99,5.88,2.28%,12.35%,15.00%,-24.59%,68.17%,59.18,155.14,-2.92%,-4.23%,1.37%,6340498
194,195,CSCO,0.98,0.76,4.63%,6.93%,10.46%,-0.93%,34.88%,74.17,52.07,0.27%,-0.50%,0.77%,37112242
195,196,CSGP,0.88,1.62,4.93%,11.48%,11.62%,-1.44%,55.76%,70.16,84.14,0.08%,-0.77%,0.86%,7613417
196,197,CSL,0.93,5.32,7.32%,10.45%,-2.80%,-24.83%,17.64%,70.04,239.58,-0.37%,-0.82%,0.45%,979992
197,198,CSX,1.23,0.64,3.94%,5.86%,8.55%,-4.32%,28.72%,64.42,33.21,-1.04%,-1.48%,0.45%,30031174
198,199,CTAS,1.32,7.33,3.15%,5.46%,11.53%,-0.59%,42.90%,65.88,491.36,-0.21%,-1.27%,1.08%,625449
199,200,CTRA,0.27,0.69,2.60%,1.13%,-1.85%,-19.67%,13.30%,55.76,25.21,0.52%,0.36%,0.16%,21771520
200,201,CTSH,1.10,1.23,3.39%,5.59%,6.68%,-8.16%,26.79%,61.75,65.08,0.53%,0.91%,-0.39%,5836794
201,202,CTVA,0.81,1.25,1.73%,-2.09%,-6.25%,-16.37%,14.39%,50.75,57.23,-0.78%,-0.69%,-0.09%,10088758
202,203,CUK,2.35,0.54,27.92%,46.22%,60.90%,-1.80%,161.88%,81.66,14.22,-1.46%,-3.46%,2.08%,2442347
203,204,CVE,2.23,0.6,-0.88%,-1.05%,-8.14%,-24.63%,15.77%,48.35,16.65,-1.83%,-2.06%,0.24%,7694540
204,205,CVS,0.61,1.77,-2.71%,-5.17%,-21.70%,-36.86%,2.08%,42.28,67.72,-2.56%,-2.63%,0.07%,18190479
205,206,CVX,1.16,3.23,0.90%,-2.38%,-5.63%,-17.09%,18.65%,49.29,157.26,-0.64%,-0.59%,-0.06%,22851275
206,207,CX,1.46,0.19,9.77%,14.74%,47.55%,-2.04%,125.00%,70.06,7.2,-1.37%,-0.14%,-1.23%,7170956
207,208,CZR,2.89,1.87,7.46%,9.26%,6.90%,-13.94%,55.99%,59.46,48.84,-2.75%,-3.25%,0.52%,3795437
208,209,D,0.47,1.13,3.39%,-2.45%,-13.01%,-38.19%,10.02%,53.9,53.33,0.87%,0.28%,0.59%,9863989
209,210,DAL,1.28,0.98,13.56%,20.52%,23.21%,-0.53%,57.32%,84.32,42.79,-0.21%,-0.16%,-0.05%,12204599
210,211,DAR,1.21,2.08,1.69%,6.71%,-1.24%,-21.25%,25.79%,58.23,65.12,0.95%,0.54%,0.40%,2068010
211,212,DASH,-,2.61,6.76%,12.90%,27.11%,-15.79%,77.11%,66.48,73.26,2.09%,1.23%,0.85%,3657957
212,213,DB,1.34,0.21,-1.09%,-1.69%,-1.17%,-23.21%,43.82%,45.56,10.42,-1.79%,0.68%,-2.45%,3683169
213,214,DD,1.41,1.52,0.73%,1.62%,4.21%,-11.47%,40.17%,52.47,69.41,-0.43%,-0.73%,0.30%,7874417
214,215,DDOG,0.93,3.99,0.14%,17.05%,20.62%,-20.70%,56.10%,57.27,95.75,-2.48%,-2.92%,0.45%,4338584
215,216,DE,1.06,9.27,10.00%,8.34%,3.09%,-9.09%,43.63%,69.87,407.63,0.27%,-0.03%,0.31%,2118653
216,217,DECK,0.91,15.23,7.28%,7.39%,26.21%,-0.35%,115.04%,63.02,512.72,0.14%,-0.87%,1.02%,490384
217,218,DELL,1.00,1.31,4.78%,9.97%,21.37%,-2.03%,51.00%,62.42,49.67,-1.06%,-1.02%,-0.04%,9351738
218,219,DEO,0.67,2.23,0.70%,-3.59%,-1.85%,-10.61%,8.35%,48.2,173.46,-0.25%,-1.04%,0.79%,590539
219,220,DFS,1.44,2.44,7.00%,12.27%,12.17%,-3.83%,31.58%,70.03,115.32,-1.65%,-1.37%,-0.29%,5916613
220,221,DG,0.28,5.44,-9.31%,-19.08%,-27.99%,-37.18%,8.63%,30.95,164.32,0.39%,0.81%,-0.42%,4779634
221,222,DGX,0.93,2.2,3.50%,1.02%,-0.82%,-12.46%,15.12%,61.4,138.6,1.02%,0.55%,0.47%,2672989
222,223,DHI,1.53,2.48,4.86%,8.12%,28.15%,-0.84%,96.46%,64.67,116.4,0.86%,-0.14%,1.00%,6316988
223,224,DHR,0.8,5.38,3.60%,1.33%,-5.37%,-20.41%,9.30%,58.33,241.8,-0.70%,-1.39%,0.70%,6380330
224,225,DIS,1.3,1.98,0.36%,-4.53%,-7.41%,-27.80%,8.62%,45.01,91.32,-1.74%,-1.63%,-0.12%,22641615
225,226,DKNG,1.76,1.07,-0.63%,7.86%,41.50%,-8.01%,133.10%,51.82,24.51,-1.29%,-3.35%,2.13%,14098348
226,227,DKS,1.44,3.42,3.79%,-1.24%,7.95%,-11.47%,92.42%,53.99,135.1,0.02%,-0.25%,0.27%,1463642
227,228,DLR,0.54,3.46,5.11%,7.93%,2.00%,-24.41%,22.64%,61.18,105.18,-0.20%,-0.38%,0.18%,4568562
228,229,DLTR,0.68,3.65,-3.15%,-7.94%,-6.94%,-22.46%,5.72%,42.13,136.22,-1.60%,-2.05%,0.46%,2591443
229,230,DOCU,0.93,2.49,-3.18%,1.40%,-0.63%,-30.28%,36.09%,46.49,53.85,-0.79%,-1.12%,0.33%,5750262
230,231,DOV,1.36,2.93,5.62%,3.69%,6.51%,-8.05%,29.03%,63.19,147.73,0.44%,-0.01%,0.45%,1529268
231,232,DOW,1.34,1.25,3.01%,-0.16%,2.01%,-12.67%,23.89%,54.57,53.16,-0.60%,-0.26%,-0.34%,9530598
232,233,DOX,0.66,1.4,2.88%,4.45%,9.37%,0.54%,27.10%,65.07,97.6,0.95%,0.62%,0.33%,926017
233,234,DPZ,0.81,8.29,9.46%,5.89%,-0.94%,-22.28%,15.94%,70.57,331.41,1.83%,0.32%,1.51%,2064234
234,235,DRI,1.23,2.68,2.09%,6.54%,14.51%,-1.76%,49.61%,62.38,166.01,-0.51%,-0.88%,0.38%,1926328
235,236,DT,1.08,1.48,0.90%,10.73%,27.24%,-3.36%,62.37%,60.42,51.21,-2.18%,-2.88%,0.73%,3588547
236,237,DTE,0.62,1.9,4.14%,2.28%,-0.11%,-16.56%,13.39%,66.54,114.12,0.18%,-0.77%,0.96%,4874008
237,238,DUK,0.43,1.56,1.82%,-3.08%,-5.64%,-18.91%,10.05%,50.13,92.18,0.53%,0.00%,0.53%,8690182
238,239,DVN,2.35,1.48,3.06%,-0.59%,-14.39%,-34.05%,14.28%,54.83,49.8,0.40%,-0.54%,0.95%,16246841
239,240,DXCM,1.15,3.72,7.67%,8.50%,18.00%,-0.87%,93.86%,64.8,130.1,-0.67%,-1.44%,0.78%,4306193
240,241,E,1.06,0.6,0.92%,-2.43%,2.45%,-11.74%,39.50%,50.55,28.43,-0.56%,-0.91%,0.35%,834863
241,242,EA,0.85,1.84,1.58%,1.65%,4.65%,-5.29%,18.55%,61.12,128.66,-0.26%,-1.02%,0.77%,3122195
242,243,EBAY,1.35,0.99,1.39%,1.46%,3.41%,-13.73%,25.45%,52.22,45.06,-1.23%,-1.21%,-0.02%,8588093
243,244,EBR,-,0.24,8.05%,13.07%,3.74%,-22.87%,41.27%,64.74,8.01,-3.03%,-0.50%,-2.54%,3037527
244,245,EBR-B,-,0.31,6.38%,12.25%,7.67%,-19.73%,44.35%,59.22,8.95,-5.29%,-2.51%,-2.86%,221753
245,246,EC,1.46,0.32,7.06%,4.99%,3.56%,-22.11%,23.24%,63.67,10.45,0.19%,0.29%,-0.10%,1365594
246,247,ECL,1.02,3.02,5.11%,6.76%,15.85%,-0.68%,38.92%,69.9,182.04,-0.10%,-0.62%,0.52%,2509734
247,248,ED,0.37,1.55,-0.27%,-3.60%,-0.96%,-9.04%,19.04%,43.15,92.97,-0.05%,-0.44%,0.39%,4677104
248,249,EDR,-,0.51,-1.08%,-5.83%,-0.20%,-14.97%,20.18%,41.2,22.33,-1.11%,-1.63%,0.53%,2333094
249,250,EFX,1.46,4.96,5.90%,10.97%,16.65%,-2.10%,57.40%,68.61,229.77,-1.13%,-1.88%,0.77%,1373090
250,251,EIX,0.82,1.38,4.15%,-0.64%,5.94%,-6.33%,28.89%,58.86,70.18,2.01%,1.43%,0.57%,3756051
