,No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
40,41,AMGN,4.98%,2.06%,-0.06%,-15.30%,-2.51%,-12.56%,1.99%,1.99%,2.7,2.34M,2.89,229.66,0.53%,6760699
41,42,AMH,0.74%,4.06%,17.96%,9.46%,5.70%,17.45%,1.94%,1.80%,2.4,2.32M,2.05,35.4,0.28%,4753384
42,43,AMP,3.39%,7.92%,15.48%,0.95%,31.86%,4.38%,2.14%,2.17%,2.2,636.30K,1.47,325.0,-0.18%,936930
43,44,AMT,2.98%,-0.96%,-4.20%,-12.26%,-20.10%,-8.95%,2.03%,2.43%,1.9,2.01M,1.63,192.89,-0.71%,3281162
44,45,AMX,-1.43%,-3.29%,10.65%,20.00%,21.10%,20.99%,2.02%,2.73%,2.6,1.18M,0.94,22.02,-0.90%,1114980
45,46,AMZN,1.67%,8.65%,26.82%,37.03%,16.55%,49.39%,2.46%,2.62%,1.8,62.51M,1.34,125.49,-1.27%,83469181
46,47,ANET,-2.91%,16.17%,-3.35%,20.46%,69.90%,30.03%,4.18%,3.92%,2.3,3.30M,1.36,157.79,-3.47%,4497419
47,48,ANSS,2.72%,10.82%,7.48%,30.56%,40.05%,38.40%,1.98%,2.32%,2.3,467.47K,1.9,334.37,-0.72%,886679
48,49,AON,4.79%,2.22%,11.06%,7.59%,30.12%,9.74%,2.03%,1.65%,2.9,848.83K,1.72,329.38,-0.51%,1463286
49,50,AOS,3.21%,3.98%,8.45%,20.58%,26.70%,24.04%,1.76%,2.04%,2.9,1.08M,1.63,71.0,0.69%,1763806
50,51,APA,2.90%,5.59%,8.32%,-23.67%,-24.65%,-26.35%,3.52%,3.59%,2.3,6.09M,1.49,34.38,-0.84%,9091358
51,52,APD,5.23%,6.14%,6.71%,-9.83%,22.52%,-4.90%,1.69%,1.78%,2.3,871.93K,2.08,293.17,0.83%,1809753
52,53,APH,5.01%,8.85%,6.98%,0.53%,24.24%,7.89%,1.69%,1.71%,2.3,2.92M,1.27,82.15,0.34%,3715840
53,54,APLS,-0.82%,0.02%,41.65%,69.46%,116.83%,72.64%,3.69%,3.37%,1.8,1.57M,1.28,89.27,-0.37%,2001521
54,55,APO,5.62%,21.54%,36.35%,16.65%,52.48%,20.83%,1.83%,2.05%,2.1,2.62M,1.57,77.08,-0.40%,4105090
55,56,APTV,3.52%,8.08%,-5.37%,5.01%,6.26%,8.92%,2.12%,2.40%,2.1,2.12M,1.53,101.44,0.16%,3239850
56,57,ARCC,-2.25%,1.52%,7.17%,-0.05%,4.39%,1.14%,1.11%,1.18%,1.8,3.05M,2.94,18.68,0.16%,8978360
57,58,ARE,-4.26%,-3.01%,-4.48%,-24.53%,-14.34%,-20.75%,2.75%,2.60%,1.6,1.09M,2.67,115.45,-4.70%,2916077
58,59,ARES,2.40%,13.50%,25.82%,30.90%,62.38%,37.97%,2.16%,2.27%,2.2,1.09M,1.65,94.43,-0.88%,1798428
59,60,ARGX,2.39%,-3.14%,11.20%,3.49%,15.70%,5.57%,1.75%,1.80%,1.6,212.30K,0.88,399.94,0.99%,187463
60,61,ARMK,0.57%,4.76%,20.37%,-4.97%,30.15%,-1.96%,1.73%,1.96%,2.5,3.45M,0.95,40.53,0.77%,3285311
61,62,ASML,0.84%,7.66%,13.92%,17.21%,42.85%,32.12%,2.08%,2.09%,1.8,972.95K,1.37,721.88,-2.28%,1336013
62,63,ASX,1.96%,22.41%,18.63%,33.69%,29.39%,41.15%,1.84%,2.20%,2.3,5.25M,1.33,8.85,-1.01%,6981151
63,64,ATO,-0.28%,0.19%,2.01%,-1.13%,10.28%,4.40%,1.19%,1.69%,2.3,978.31K,1.54,117.0,-0.42%,1510044
64,65,ATVI,1.98%,5.24%,3.77%,6.40%,8.79%,7.08%,1.34%,1.28%,2.0,7.58M,1.61,81.97,0.64%,12232423
65,66,AU,-0.12%,-2.19%,17.05%,23.83%,51.66%,24.41%,2.74%,2.40%,2.8,3.22M,1.38,24.16,-1.63%,4446923
