,No.,Ticker,Market Cap,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Price,Change,Volume
542,543,ORCL,341.66B,2.70B,1.54B,42.60%,-0.43%,42.70%,0.29%,1.04%,1.71,9.39M,125.46,-0.86%,19438215
543,544,ORLY,56.46B,61.84M,60.23M,0.60%,-21.06%,85.60%,-2.90%,1.30%,1.87,417.29K,919.02,-0.91%,885195
544,545,OTEX,11.34B,270.44M,265.54M,2.30%,0.00%,77.80%,-0.51%,2.70%,12.61,569.43K,41.49,-1.07%,773874
545,546,OTIS,36.59B,414.30M,413.00M,0.06%,-17.68%,87.70%,0.00%,1.00%,2.21,1.88M,88.62,0.09%,3052289
546,547,OWL,16.49B,456.19M,428.22M,1.06%,0.00%,93.80%,1.85%,4.90%,6.21,3.38M,11.55,-1.45%,3237196
547,548,OXY,52.47B,901.20M,897.42M,0.23%,-,79.40%,-2.83%,5.38%,4.1,11.77M,58.15,-0.46%,13715211
548,549,PAG,10.80B,69.20M,56.44M,21.48%,-0.16%,81.70%,-1.81%,7.45%,13.64,308.20K,153.72,-1.80%,394729
549,550,PANW,74.57B,303.90M,297.72M,1.40%,-20.47%,87.30%,-1.38%,6.56%,4.55,4.29M,246.53,1.12%,54804402
550,551,PARA,10.87B,651.00M,584.77M,0.20%,14.09%,81.80%,2.06%,14.82%,5.79,14.96M,16.28,-1.51%,12996149
551,552,PATH,10.52B,557.88M,415.71M,2.40%,-1.71%,63.80%,3.81%,8.45%,3.65,9.64M,18.1,-3.47%,14361977
552,553,PAYC,18.75B,57.87M,48.68M,14.57%,-0.02%,81.00%,1.89%,3.50%,3.1,550.33K,319.92,-1.24%,671869
553,554,PAYX,40.85B,360.50M,321.66M,10.70%,-0.05%,73.20%,0.03%,2.92%,4.11,2.28M,113.59,0.25%,3842225
554,555,PBA,17.19B,550.38M,549.93M,0.10%,0.00%,63.44%,-,3.15%,23.4,740.43K,31.23,0.42%,763399
555,556,PBR,85.58B,6.52B,4.20B,39.80%,0.00%,23.40%,2.03%,0.61%,1.2,21.51M,13.9,0.80%,15216152
556,557,PBR-A,86.01B,2.80B,2.80B,-,-,8.27%,-,0.30%,0.91,9.36M,12.37,0.49%,15659513
557,558,PCAR,41.33B,785.25M,515.79M,1.40%,-2.65%,66.80%,0.47%,1.88%,3.46,2.80M,78.63,-0.57%,3943723
558,559,PCG,42.67B,1.99B,1.97B,12.60%,-16.28%,73.20%,11.36%,2.30%,2.83,16.02M,17.4,0.87%,21673674
559,560,PCGU,43.04B,16.00M,16.00M,-,-,96.92%,-,0.11%,0.41,43.91K,150.65,0.41%,50940
560,561,PCTY,10.59B,55.79M,40.82M,26.20%,-3.15%,75.50%,0.05%,5.56%,4.66,486.51K,184.98,-2.52%,585530
561,562,PDD,106.65B,1.32B,911.82M,-,-,25.50%,5.80%,3.17%,2.86,10.11M,79.87,-1.18%,12500401
562,563,PEAK,11.36B,546.84M,535.96M,0.29%,1.26%,97.50%,-2.27%,2.64%,3.02,4.69M,20.67,-0.43%,7153600
563,564,PEG,31.07B,497.00M,492.03M,0.10%,-1.41%,72.90%,0.31%,1.11%,2.2,2.49M,62.54,0.45%,5330707
564,565,PEN,12.94B,38.19M,36.31M,0.20%,-46.34%,84.80%,1.15%,9.38%,9.83,346.47K,337.37,-0.27%,558848
565,566,PEP,255.85B,1.38B,1.38B,0.10%,-6.26%,74.00%,-0.02%,0.70%,2.25,4.28M,186.04,0.18%,8912369
566,567,PFE,224.40B,5.63B,5.61B,0.04%,-0.40%,70.50%,0.53%,0.99%,2.29,24.38M,40.06,0.78%,60290730
567,568,PFG,17.99B,243.40M,241.66M,0.40%,-0.38%,76.90%,-2.09%,2.50%,3.43,1.76M,74.78,0.92%,3110138
568,569,PG,349.89B,2.36B,2.36B,0.12%,-5.00%,65.50%,-1.26%,0.56%,2.17,6.10M,149.54,0.73%,11229476
569,570,PGR,75.13B,584.90M,582.96M,0.20%,-7.60%,86.70%,-0.99%,0.57%,1.12,2.96M,129.99,1.27%,3352610
570,571,PH,47.99B,128.29M,127.78M,0.20%,-29.71%,85.90%,-0.41%,1.38%,1.96,902.52K,369.1,-1.32%,1037095
571,572,PHG,18.75B,881.52M,862.96M,-,-,10.60%,-26.40%,0.28%,1.8,1.35M,20.41,-0.39%,972932
572,573,PHM,16.51B,225.13M,221.50M,0.76%,-14.03%,94.30%,-1.05%,4.17%,3.16,2.93M,73.51,-0.61%,5781284
573,574,PINS,17.07B,681.14M,582.72M,0.40%,-27.52%,91.00%,2.33%,4.20%,2.16,11.30M,25.36,1.60%,12959099
574,575,PKG,11.93B,89.00M,88.80M,1.00%,0.00%,97.50%,0.04%,2.98%,3.76,702.69K,132.42,-0.18%,1737723
575,576,PKX,25.62B,303.40M,303.40M,9.30%,0.00%,3.60%,-0.08%,0.43%,4.5,291.75K,75.98,-0.61%,439110
576,577,PLD,112.40B,923.89M,738.19M,0.32%,0.00%,79.60%,1.07%,1.68%,3.97,3.13M,122.63,0.75%,5830935
577,578,PLTR,35.15B,2.11B,1.75B,0.60%,-28.06%,34.90%,4.29%,8.46%,2.34,63.52M,16.3,-1.81%,90235561
578,579,PM,147.04B,1.55B,1.55B,0.16%,-6.21%,77.00%,0.58%,0.46%,1.58,4.50M,94.89,0.17%,9474971
579,580,PNC,51.40B,401.00M,396.99M,0.10%,1.05%,84.90%,-3.58%,1.92%,1.9,4.00M,128.47,-0.25%,3460613
580,581,PNR,10.06B,164.80M,163.91M,0.10%,-2.33%,96.60%,4.49%,2.24%,2.81,1.30M,60.81,-0.33%,1593838
581,582,PODD,20.01B,69.58M,69.13M,0.10%,-52.00%,104.39%,-0.60%,4.11%,4.76,595.68K,284.5,-0.92%,727495
582,583,POOL,13.96B,38.88M,37.84M,0.20%,-2.90%,102.46%,0.40%,10.96%,10.13,409.65K,357.95,0.12%,556376
583,584,PPG,33.26B,235.80M,234.40M,0.29%,-11.17%,82.50%,0.18%,0.78%,1.29,1.41M,143.08,1.28%,2673810
584,585,PPL,19.91B,736.83M,735.50M,0.05%,-12.11%,72.80%,2.04%,1.41%,2.03,5.11M,26.99,-0.07%,8309809
585,586,PRU,31.67B,366.50M,361.35M,0.14%,-2.86%,59.90%,-0.89%,1.75%,2.44,2.59M,87.03,0.31%,3973720
586,587,PSA,50.57B,175.45M,151.79M,8.20%,0.00%,81.10%,0.61%,2.88%,4.34,1.01M,287.1,-0.19%,1798441
587,588,PSTG,11.55B,303.61M,280.25M,3.60%,-1.39%,88.00%,3.38%,3.37%,1.9,4.97M,37.74,0.37%,5880773
588,589,PSX,44.52B,464.81M,458.56M,0.20%,1.13%,73.50%,-1.76%,2.08%,2.67,3.57M,97.13,0.11%,4962188
589,590,PTC,16.99B,118.26M,105.26M,1.00%,-58.07%,91.10%,-0.96%,1.13%,1.66,716.96K,143.15,-0.31%,1514625
590,591,PUK,39.56B,1.38B,1.38B,1.20%,0.00%,1.90%,6.08%,0.03%,0.76,510.84K,28.89,-1.06%,289563
591,592,PWR,26.97B,144.47M,141.17M,0.20%,-56.13%,94.40%,-1.40%,2.87%,4.99,812.80K,185.95,0.08%,1751534
592,593,PXD,47.52B,235.00M,233.31M,0.69%,0.00%,92.50%,-1.23%,1.87%,1.95,2.23M,206.8,1.73%,4239170
593,594,PYPL,73.47B,1.13B,1.11B,0.20%,1.16%,76.00%,1.41%,1.88%,1.32,15.85M,66.43,0.88%,29672744
594,595,QCOM,137.70B,1.12B,1.11B,0.10%,-3.83%,74.10%,-0.30%,0.89%,1.23,8.01M,122.68,-0.75%,12886685
595,596,QGEN,10.62B,229.82M,226.94M,3.60%,0.00%,71.40%,0.59%,1.30%,3.45,856.69K,46.76,0.39%,723331
596,597,QRVO,10.12B,99.71M,98.08M,0.50%,-9.15%,89.40%,-3.26%,2.63%,2.13,1.21M,102.62,0.11%,3467042
597,598,QSR,23.81B,309.00M,302.22M,0.40%,-34.64%,86.20%,-0.43%,3.05%,8.06,1.14M,76.43,-0.09%,732681
598,599,RACE,55.87B,181.37M,115.88M,33.82%,0.00%,39.07%,-,1.58%,5.41,339.38K,308.02,0.62%,294920
599,600,RBA,10.37B,120.49M,110.78M,14.30%,0.11%,84.90%,0.52%,5.39%,2.78,2.15M,57.09,0.07%,12523543
600,601,RBLX,24.81B,606.64M,524.95M,0.50%,-37.83%,75.00%,6.69%,3.55%,1.99,9.35M,41.8,2.88%,15243676
601,602,RCI,23.37B,505.00M,352.98M,0.80%,0.00%,79.00%,-0.24%,1.89%,20.47,326.52K,43.97,-0.52%,479517
602,603,RCL,24.53B,255.47M,219.97M,0.20%,-65.10%,73.90%,1.72%,8.74%,5.22,3.68M,95.3,-0.64%,3901028
603,604,RE,14.76B,38.70M,38.55M,0.50%,-1.64%,96.50%,0.21%,1.14%,1.18,374.14K,352.35,2.35%,587120
604,605,REG,10.40B,171.21M,169.68M,0.40%,-2.65%,101.10%,-1.59%,1.98%,3.76,892.43K,61.14,0.49%,1101866
605,606,REGN,85.91B,107.10M,104.32M,0.50%,-8.25%,89.50%,-0.34%,1.09%,2.02,566.47K,783.05,-0.00%,993137
606,607,RELX,63.49B,1.91B,1.88B,4.50%,0.00%,3.60%,-1.19%,0.06%,1.58,755.50K,34.04,1.64%,2030391
607,608,REXR,11.53B,195.37M,187.22M,0.28%,-7.87%,98.10%,1.06%,6.73%,7.2,1.75M,53.72,-0.09%,4014994
608,609,RF,17.19B,935.00M,929.75M,0.24%,-4.32%,77.50%,0.72%,3.16%,2.44,12.04M,18.12,-1.09%,17517692
609,610,RIO,114.32B,1.62B,1.43B,6.50%,0.00%,11.10%,4.87%,0.51%,2.07,3.51M,67.55,-1.17%,3722183
610,611,RIVN,14.32B,930.00M,801.37M,0.10%,-6.03%,69.40%,7.99%,9.50%,3.13,24.32M,14.88,-2.36%,92074575
611,612,RJF,21.23B,214.30M,193.54M,0.40%,-1.99%,77.50%,0.71%,2.24%,2.93,1.48M,100.09,-0.08%,2048186
612,613,RKT,18.43B,124.73M,115.94M,5.90%,0.01%,65.20%,-0.23%,25.39%,14.98,1.96M,9.19,-1.50%,2835054
613,614,RMD,32.17B,146.91M,144.57M,0.70%,-7.69%,67.40%,-0.38%,1.00%,2.42,596.67K,219.04,0.03%,734121
614,615,ROK,36.69B,114.80M,114.66M,0.20%,-18.39%,82.60%,-1.28%,2.49%,3.85,739.97K,315.8,-1.13%,1431118
615,616,ROKU,10.10B,140.33M,121.47M,0.10%,-35.78%,77.80%,5.02%,10.69%,1.67,7.76M,70.69,-1.48%,5787356
616,617,ROL,20.52B,492.52M,242.16M,44.10%,-0.03%,43.40%,1.77%,3.72%,6.04,1.49M,41.09,-1.32%,2399819
617,618,ROP,49.15B,106.30M,105.62M,0.30%,-1.52%,97.10%,-3.03%,0.84%,1.61,555.22K,458.78,-0.51%,1014913
618,619,ROST,36.75B,338.05M,333.83M,0.10%,-18.61%,92.50%,-0.33%,1.08%,1.56,2.31M,107.84,-0.04%,3476998
619,620,RPM,10.95B,127.50M,127.29M,1.20%,-1.19%,84.20%,-3.39%,1.36%,2.55,678.26K,85.22,0.29%,957677
620,621,RPRX,19.55B,445.61M,426.21M,0.10%,-74.32%,68.40%,1.50%,1.78%,3.55,2.14M,31.9,-0.93%,4651436
621,622,RRX,10.07B,66.20M,65.91M,0.20%,0.00%,100.27%,1.88%,1.45%,2.25,423.20K,151.24,-0.49%,561306
622,623,RS,15.04B,58.83M,58.22M,0.50%,-18.43%,84.20%,-4.46%,1.36%,1.88,421.76K,256.07,0.07%,809344
623,624,RSG,45.72B,316.70M,276.85M,0.10%,-1.34%,95.80%,-0.15%,0.88%,2.12,1.15M,145.73,0.82%,1515007
624,625,RTO,20.38B,504.01M,365.09M,1.20%,0.00%,0.60%,8.55%,0.22%,2.34,345.50K,40.65,-0.02%,839858
625,626,RTX,143.19B,1.46B,1.46B,0.09%,-0.27%,80.90%,-0.99%,0.73%,2.55,4.17M,97.74,-0.27%,9029088
626,627,RVTY,14.76B,126.28M,125.09M,0.10%,0.00%,88.40%,-9.85%,2.66%,4.18,796.52K,119.26,1.35%,1309272
627,628,RY,131.89B,1.39B,1.37B,0.10%,0.00%,52.30%,-0.96%,0.54%,9.1,814.43K,95.45,0.23%,757883
628,629,RYAAY,20.76B,227.60M,215.29M,9.10%,0.00%,44.50%,-1.98%,0.47%,2.71,370.88K,107.89,0.87%,406703
629,630,RYAN,11.10B,111.03M,96.58M,0.20%,-94.70%,75.80%,-0.79%,4.92%,7.06,672.96K,42.97,0.54%,747175
630,631,SAN,58.00B,16.27B,16.27B,21.00%,0.00%,1.90%,-4.68%,0.06%,2.55,3.76M,3.49,-0.29%,7201905
631,632,SAP,166.03B,1.17B,1.09B,25.50%,0.00%,5.40%,2.96%,0.15%,1.78,943.80K,137.28,0.18%,983343
632,633,SBAC,25.35B,108.13M,106.59M,0.40%,0.00%,97.20%,-0.20%,1.10%,1.61,727.67K,230.57,-1.44%,1017989
633,634,SBUX,116.22B,1.15B,1.15B,0.10%,-0.67%,72.10%,2.12%,1.19%,2.18,6.26M,101.87,0.48%,11700812
634,635,SCCO,57.33B,773.10M,85.22M,0.10%,-0.39%,7.30%,-2.48%,7.90%,5.67,1.19M,74.44,0.38%,1610628
635,636,SCHW,101.03B,1.83B,1.69B,6.34%,-0.65%,88.50%,-0.57%,1.65%,1.22,22.85M,54.4,-2.00%,19332186
636,637,SCI,10.01B,153.12M,149.23M,1.10%,-17.88%,89.20%,-1.67%,4.90%,7.6,963.31K,66.21,-0.05%,1946576
637,638,SE,35.63B,563.56M,462.51M,11.27%,0.00%,80.20%,5.08%,4.38%,4.33,4.68M,62.08,-1.26%,4705731
638,639,SEDG,15.63B,56.22M,55.33M,0.60%,-6.99%,90.30%,1.74%,5.69%,2.98,1.06M,276.7,-0.27%,1054118
639,640,SGEN,37.04B,186.89M,183.63M,0.30%,-39.14%,89.30%,-2.11%,3.37%,4.25,1.45M,198.32,0.39%,1570596
640,641,SHEL,202.00B,3.46B,3.38B,0.20%,0.00%,8.10%,0.22%,0.15%,1.02,4.93M,60.35,-0.54%,6410215
641,642,SHG,14.27B,525.14M,428.43M,5.00%,0.00%,2.70%,-0.25%,0.08%,2.44,146.63K,27.33,-0.73%,96377
642,643,SHOP,84.54B,1.28B,1.14B,0.19%,0.00%,65.80%,2.68%,3.37%,2.4,15.97M,64.71,-2.10%,13535781
643,644,SHW,64.33B,256.70M,237.16M,0.10%,-0.21%,79.20%,-0.67%,1.24%,2.12,1.39M,247.89,-0.63%,2243733
644,645,SIRI,14.82B,3.89B,658.59M,0.30%,-0.22%,10.70%,-5.16%,31.36%,13.15,15.70M,3.94,2.87%,57935776
645,646,SJM,16.30B,106.50M,101.92M,1.30%,-8.88%,82.70%,-1.02%,3.45%,3.85,911.74K,153.1,0.14%,1064623
646,647,SLB,68.27B,1.43B,1.42B,0.19%,-10.18%,85.80%,3.87%,1.34%,1.9,9.99M,47.78,-0.25%,14733232
647,648,SLF,29.84B,587.00M,585.93M,0.08%,0.00%,54.40%,3.54%,2.30%,29.5,456.23K,50.91,0.10%,414746
648,649,SMCI,12.80B,53.28M,45.85M,12.80%,-5.26%,74.30%,2.33%,10.53%,2.12,2.28M,230.77,-5.39%,3029255
649,650,SMFG,57.55B,6.75B,6.53B,-,-,1.70%,-4.99%,0.04%,0.97,2.72M,8.26,-1.31%,2066410
650,651,SNA,14.52B,53.02M,52.24M,1.50%,-18.23%,89.50%,-0.03%,4.05%,6.85,309.26K,273.87,-0.15%,481886
651,652,SNAP,17.07B,1.58B,1.23B,8.50%,-1.91%,55.00%,-12.24%,4.88%,2.24,26.72M,10.68,0.19%,28822677
652,653,SNN,13.83B,436.39M,219.19M,0.60%,0.00%,9.80%,9.01%,0.86%,1.92,981.47K,32.16,0.50%,2029472
653,654,SNOW,62.24B,324.16M,291.42M,0.10%,-62.50%,68.40%,1.63%,4.94%,2.42,5.95M,184.18,-3.56%,6579936
654,655,SNPS,67.92B,152.19M,151.48M,0.20%,-33.86%,92.70%,0.55%,1.14%,1.88,916.34K,441.19,-1.16%,1889110
655,656,SNY,130.24B,2.52B,2.24B,16.40%,0.00%,10.30%,-1.65%,0.17%,2.31,1.65M,52.04,0.48%,1142213
656,657,SO,77.16B,1.09B,1.09B,0.10%,-20.66%,63.50%,2.62%,1.24%,3.12,4.33M,71.76,1.41%,9344807
657,658,SONY,125.58B,1.23B,1.23B,-,-,7.80%,3.14%,0.11%,1.69,816.95K,97.57,-2.11%,777968
658,659,SPG,36.27B,326.95M,325.77M,0.10%,2.23%,83.00%,-1.84%,1.81%,3.93,1.50M,112.79,1.69%,3045164
659,660,SPGI,128.31B,321.30M,318.68M,0.10%,-8.58%,91.70%,-3.61%,1.28%,3.47,1.17M,395.21,-1.19%,1881802
660,661,SPLK,18.30B,164.99M,162.96M,0.30%,-4.70%,88.20%,1.67%,2.92%,3.29,1.45M,108.02,-2.23%,2884860
661,662,SPOT,29.43B,193.56M,140.77M,27.63%,0.00%,56.40%,-2.33%,1.87%,1.75,1.50M,159.99,5.13%,3530028
662,663,SQ,40.04B,602.23M,531.01M,0.30%,-27.64%,67.50%,-0.12%,4.57%,1.66,14.60M,66.51,0.48%,12225184
663,664,SQM,19.37B,285.64M,147.47M,72.40%,0.00%,40.80%,-5.81%,2.54%,1.85,2.02M,72.16,0.22%,1638035
664,665,SRE,46.75B,314.92M,310.86M,0.03%,-32.86%,89.10%,-0.48%,0.86%,2.06,1.30M,148.2,-0.26%,2258696
665,666,SRPT,12.26B,88.19M,83.68M,0.20%,0.00%,89.10%,6.39%,5.28%,2.82,1.57M,130.44,-0.89%,1550736
666,667,SSNC,15.00B,250.40M,219.75M,0.10%,0.00%,86.00%,-2.30%,1.23%,2.34,1.15M,60.12,-0.13%,2023954
667,668,STE,21.06B,99.06M,98.41M,0.10%,-20.10%,95.90%,0.33%,1.72%,3.92,430.98K,213.61,0.04%,1057938
668,669,STLA,54.23B,3.13B,2.13B,24.11%,0.00%,49.36%,-,1.37%,6.3,4.63M,17.34,1.05%,4579144
669,670,STLD,17.91B,171.60M,165.28M,5.80%,0.00%,85.70%,-3.29%,4.04%,3.78,1.76M,102.53,-3.24%,7401493
670,671,STM,45.37B,945.30M,661.94M,28.40%,0.00%,6.80%,40.99%,1.43%,2.67,3.55M,49.99,0.28%,5019370
671,672,STT,24.95B,341.11M,332.75M,0.10%,-12.72%,91.60%,-0.58%,1.45%,1.71,2.81M,73.77,-1.18%,7079859
672,673,STX,13.70B,207.00M,205.30M,0.40%,-4.52%,87.80%,-0.76%,4.87%,4.12,2.43M,64.3,-2.78%,4022708
673,674,STZ,45.66B,206.84M,149.77M,7.80%,-53.83%,73.70%,1.76%,1.67%,2.18,1.15M,246.03,-1.27%,1503044
674,675,SU,39.61B,1.33B,1.31B,0.01%,0.00%,68.50%,3.25%,8.13%,22.27,4.78M,30.14,-0.33%,4200323
675,676,SUI,16.66B,123.30M,122.13M,1.20%,-0.07%,97.70%,-0.23%,1.24%,2.44,622.37K,134.87,0.72%,1109954
676,677,SUZ,13.27B,1.32B,1.32B,-,-,2.97%,-,0.13%,1.12,1.48M,10.01,0.10%,5564275
677,678,SWAV,10.85B,36.43M,35.72M,1.90%,-12.22%,92.60%,-3.99%,3.38%,2.14,562.36K,294.37,-0.60%,557938
678,679,SWK,14.01B,149.57M,147.16M,0.20%,-0.83%,91.80%,1.84%,5.25%,4.62,1.67M,90.9,-0.63%,2677182
679,680,SWKS,17.44B,159.10M,158.33M,0.20%,-1.76%,78.90%,1.46%,2.86%,2.46,1.84M,109.26,-0.28%,3652068
680,681,SYF,14.33B,434.40M,425.45M,0.40%,-9.62%,100.83%,-4.53%,3.83%,2.69,6.05M,32.9,-1.61%,8459772
681,682,SYK,112.23B,379.00M,371.63M,0.10%,-59.97%,79.80%,1.53%,0.84%,2.46,1.27M,294.35,-0.44%,2429656
682,683,SYM,27.02B,60.50M,43.71M,1.60%,-2.56%,39.60%,0.09%,9.16%,5.27,759.93K,51.22,5.30%,1929486
683,684,SYY,37.19B,507.72M,506.18M,0.20%,-0.24%,84.30%,-1.08%,1.96%,4.0,2.47M,73.39,-0.01%,4396581
684,685,T,114.60B,7.17B,7.12B,0.08%,0.00%,54.40%,-0.90%,1.32%,2.48,37.96M,16.06,0.19%,64091844
685,686,TAK,51.25B,3.11B,3.11B,-,-,2.10%,11.67%,0.26%,3.63,2.18M,16.09,-0.37%,3243622
686,687,TAP,13.52B,216.50M,166.48M,0.10%,-0.89%,87.20%,-2.53%,5.38%,4.0,2.24M,66.28,-0.48%,2521434
687,688,TCOM,24.60B,651.85M,646.05M,4.00%,0.00%,53.00%,-2.56%,3.04%,3.89,5.05M,36.0,0.39%,4066634
688,689,TD,111.02B,1.83B,1.79B,0.10%,0.00%,66.70%,0.14%,0.63%,4.44,2.54M,61.16,0.30%,1978473
689,690,TDG,45.30B,57.10M,52.69M,0.30%,-78.05%,98.00%,1.65%,2.06%,4.18,259.09K,815.89,-1.06%,402828
690,691,TDY,19.24B,46.90M,46.26M,0.30%,-18.96%,93.90%,-1.55%,0.98%,1.83,249.04K,406.43,-0.63%,371773
